name	ttype	x	y	clr_red	clr_green	clr_blue
Alexandrov507:APGI_2157	PANC	3.839132e+00	1.013171e-01	97	71	48
Alexandrov507:APGI_2202	PANC	3.568623e+00	1.466276e-01	97	71	48
Alexandrov507:CLL4-ARTICLE	CLL	2.970552e+00	0	128	102	128
Alexandrov507:G1	DLBCL	3.894739e+00	2.380952e-01	84	77	115
Alexandrov507:HX19T	LIVER	4.084329e+00	0	179	153	128
Alexandrov507:HX20T	LIVER	3.754765e+00	2.688172e-01	179	153	128
Alexandrov507:HX21T	LIVER	4.154158e+00	2.610966e-01	179	153	128
Alexandrov507:HX22T	LIVER	3.560012e+00	0	179	153	128
Alexandrov507:HX25T	LIVER	3.651199e+00	3.703704e-01	179	153	128
Alexandrov507:HX28T	LIVER	3.949553e+00	3.021148e-01	179	153	128
Alexandrov507:HX30T	LIVER	4.035582e+00	0	179	153	128
Alexandrov507:HX33T	LIVER	4.173852e+00	6.042296e-01	179	153	128
Alexandrov507:HX35T	LIVER	4.040379e+00	0	179	153	128
Alexandrov507:HX5T	LIVER	3.940022e+00	5.934718e-01	179	153	128
Alexandrov507:HX9T	LIVER	3.916265e+00	0	179	153	128
Alexandrov507:LFS_MB1	MED	3.310973e+00	2.638522e-01	69	89	110
Alexandrov507:LFS_MB2	MED	3.211159e+00	0	69	89	110
Alexandrov507:LFS_MB4	MED	3.107167e+00	0	69	89	110
Alexandrov507:LU-A08-43	LUAD	4.057257e+00	0	179	26	0
Alexandrov507:LUAD-2GUGK	LUAD	4.654436e+00	2.108222e-01	179	26	0
Alexandrov507:LUAD-5V8LT	LUAD	5.473619e+00	3.696858e-01	179	26	0
Alexandrov507:LUAD-AEIUF	LUAD	4.521274e+00	1.069519e-01	179	26	0
Alexandrov507:LUAD-D02326	LUAD	3.967985e+00	3.337784e-01	179	26	0
Alexandrov507:LUAD-E00934	LUAD	5.052055e+00	5.344418e-01	179	26	0
Alexandrov507:LUAD-E01014	LUAD	4.368797e+00	0	179	26	0
Alexandrov507:LUAD-E01278	LUAD	4.679642e+00	4.103967e-01	179	26	0
Alexandrov507:LUAD-E01317	LUAD	4.558473e+00	1.662510e-01	179	26	0
Alexandrov507:LUAD-FH5PJ	LUAD	4.559059e+00	2.205072e-01	179	26	0
Alexandrov507:LUAD-QY22Z	LUAD	4.847792e+00	4.257131e-02	179	26	0
Alexandrov507:LUAD-S00488	LUAD	4.873968e+00	3.921569e-01	179	26	0
Alexandrov507:LUAD-S01302	LUAD	5.104893e+00	2.914036e-01	179	26	0
Alexandrov507:LUAD-S01331	LUAD	4.645603e+00	2.325581e-01	179	26	0
Alexandrov507:LUAD-S01341	LUAD	4.179839e+00	2.811621e-01	179	26	0
Alexandrov507:LUAD-S01345	LUAD	4.593333e+00	1.416122e+00	179	26	0
Alexandrov507:LUAD-S01346	LUAD	4.923091e+00	5.412720e-01	179	26	0
Alexandrov507:LUAD-S01356	LUAD	4.838999e+00	2.892263e-01	179	26	0
Alexandrov507:LUAD-S01381	LUAD	4.451340e+00	5.174644e-01	179	26	0
Alexandrov507:LUAD-S01404	LUAD	4.536246e+00	5.405405e-01	179	26	0
Alexandrov507:LUAD-S01405	LUAD	4.697191e+00	3.606853e-01	179	26	0
Alexandrov507:LUAD-S01467	LUAD	4.667328e+00	4.716981e-01	179	26	0
Alexandrov507:LUAD-S01478	LUAD	4.902224e+00	2.890173e-01	179	26	0
Alexandrov507:LUAD-U6SJ7	LUAD	4.487629e+00	4.484305e-01	179	26	0
Alexandrov507:MB1	MED	2.605754e+00	5.208333e-01	69	89	110
Alexandrov507:MB101	MED	3.586334e+00	2.372479e-01	69	89	110
Alexandrov507:MB102	MED	3.224389e+00	0	69	89	110
Alexandrov507:MB104	MED	3.346764e+00	0	69	89	110
Alexandrov507:MB106	MED	2.553742e+00	0	69	89	110
Alexandrov507:MB107	MED	3.184842e+00	0	69	89	110
Alexandrov507:MB108	MED	2.740198e+00	5.347594e-01	69	89	110
Alexandrov507:MB110	MED	3.532747e+00	0	69	89	110
Alexandrov507:MB112	MED	3.053557e+00	0	69	89	110
Alexandrov507:MB113	MED	3.032348e+00	0	69	89	110
Alexandrov507:MB114	MED	2.703989e+00	0	69	89	110
Alexandrov507:MB115	MED	2.781331e+00	0	69	89	110
Alexandrov507:MB117	MED	2.968613e+00	0	69	89	110
Alexandrov507:MB119	MED	2.276046e+00	8.000000e-01	69	89	110
Alexandrov507:MB12	MED	2.259184e+00	0	69	89	110
Alexandrov507:MB121	MED	2.688052e+00	0	69	89	110
Alexandrov507:MB122	MED	3.025138e+00	0	69	89	110
Alexandrov507:MB124	MED	3.201277e+00	0	69	89	110
Alexandrov507:MB125	MED	3.476728e+00	3.952569e-01	69	89	110
Alexandrov507:MB126	MED	3.520448e+00	1.344086e-01	69	89	110
Alexandrov507:MB127	MED	3.244556e+00	0	69	89	110
Alexandrov507:MB128	MED	3.965738e+00	2.170767e-01	69	89	110
Alexandrov507:MB129	MED	3.083323e+00	0	69	89	110
Alexandrov507:MB130	MED	2.996689e+00	0	69	89	110
Alexandrov507:MB131	MED	3.065244e+00	3.322259e-01	69	89	110
Alexandrov507:MB132	MED	2.425019e+00	0	69	89	110
Alexandrov507:MB134	MED	2.821499e+00	6.896552e-01	69	89	110
Alexandrov507:MB139	MED	2.651254e+00	0	69	89	110
Alexandrov507:MB15	MED	2.953037e+00	0	69	89	110
Alexandrov507:MB16	MED	2.562073e+00	0	69	89	110
Alexandrov507:MB17	MED	2.829149e+00	0	69	89	110
Alexandrov507:MB18	MED	3.045505e+00	0	69	89	110
Alexandrov507:MB19	MED	2.823110e+00	0	69	89	110
Alexandrov507:MB2	MED	2.558585e+00	0	69	89	110
Alexandrov507:MB20	MED	2.933143e+00	0	69	89	110
Alexandrov507:MB21	MED	2.495141e+00	0	69	89	110
Alexandrov507:MB23	MED	3.312814e+00	0	69	89	110
Alexandrov507:MB24	MED	2.438872e+00	0	69	89	110
Alexandrov507:MB26	MED	2.907223e+00	0	69	89	110
Alexandrov507:MB28	MED	1.663481e+00	0	69	89	110
Alexandrov507:MB3	MED	2.996296e+00	3.003003e-01	69	89	110
Alexandrov507:MB31	MED	3.221659e+00	2.352941e-01	69	89	110
Alexandrov507:MB32	MED	2.748673e+00	0	69	89	110
Alexandrov507:MB34	MED	3.515709e+00	3.676471e-01	69	89	110
Alexandrov507:MB35	MED	2.464335e+00	0	69	89	110
Alexandrov507:MB36	MED	3.098053e+00	0	69	89	110
Alexandrov507:MB37	MED	1.908984e+00	0	69	89	110
Alexandrov507:MB38	MED	2.838452e+00	0	69	89	110
Alexandrov507:MB39	MED	2.311191e+00	0	69	89	110
Alexandrov507:MB40	MED	2.049347e+00	0	69	89	110
Alexandrov507:MB45	MED	3.214677e+00	0	69	89	110
Alexandrov507:MB46	MED	2.846532e+00	0	69	89	110
Alexandrov507:MB49	MED	2.855325e+00	0	69	89	110
Alexandrov507:MB5	MED	2.762730e+00	0	69	89	110
Alexandrov507:MB50	MED	3.072505e+00	3.355705e-01	69	89	110
Alexandrov507:MB51	MED	2.684169e+00	0	69	89	110
Alexandrov507:MB518	MED	3.041241e+00	3.215434e-01	69	89	110
Alexandrov507:MB53	MED	3.189953e+00	1.960784e-01	69	89	110
Alexandrov507:MB56	MED	3.422512e+00	0	69	89	110
Alexandrov507:MB57	MED	2.873191e+00	0	69	89	110
Alexandrov507:MB58	MED	3.212191e+00	3.412969e-01	69	89	110
Alexandrov507:MB59	MED	3.345790e+00	0	69	89	110
Alexandrov507:MB6	MED	3.031345e+00	0	69	89	110
Alexandrov507:MB60	MED	3.083023e+00	0	69	89	110
Alexandrov507:MB61	MED	3.404084e+00	2.580645e-01	69	89	110
Alexandrov507:MB612	MED	2.478549e+00	0	69	89	110
Alexandrov507:MB63	MED	3.281185e+00	1.748252e-01	69	89	110
Alexandrov507:MB64	MED	2.953864e+00	0	69	89	110
Alexandrov507:MB66	MED	3.267856e+00	1.964637e-01	69	89	110
Alexandrov507:MB67	MED	2.972787e+00	9.146341e-01	69	89	110
Alexandrov507:MB69	MED	3.312768e+00	0	69	89	110
Alexandrov507:MB7	MED	2.859444e+00	0	69	89	110
Alexandrov507:MB70	MED	3.208083e+00	0	69	89	110
Alexandrov507:MB74	MED	3.336368e+00	5.952381e-01	69	89	110
Alexandrov507:MB75	MED	3.311136e+00	1.872659e-01	69	89	110
Alexandrov507:MB77	MED	3.213137e+00	0	69	89	110
Alexandrov507:MB78	MED	3.471118e+00	1.331558e-01	69	89	110
Alexandrov507:MB79	MED	3.215903e+00	0	69	89	110
Alexandrov507:MB8	MED	2.872674e+00	0	69	89	110
Alexandrov507:MB800	MED	3.020016e+00	0	69	89	110
Alexandrov507:MB81	MED	3.606702e+00	1.529052e-01	69	89	110
Alexandrov507:MB82	MED	3.195714e+00	2.066116e-01	69	89	110
Alexandrov507:MB83	MED	2.896918e+00	0	69	89	110
Alexandrov507:MB84	MED	3.018840e+00	5.208333e-01	69	89	110
Alexandrov507:MB85	MED	2.260834e+00	7.142857e-01	69	89	110
Alexandrov507:MB86	MED	2.627178e+00	0	69	89	110
Alexandrov507:MB88	MED	2.433992e+00	0	69	89	110
Alexandrov507:MB89	MED	2.715991e+00	0	69	89	110
Alexandrov507:MB9	MED	2.702187e+00	3.875969e-01	69	89	110
Alexandrov507:MB90	MED	2.457094e+00	0	69	89	110
Alexandrov507:MB91	MED	2.967419e+00	0	69	89	110
Alexandrov507:MB92	MED	3.220269e+00	0	69	89	110
Alexandrov507:MB94	MED	3.298590e+00	0	69	89	110
Alexandrov507:MB95	MED	2.363524e+00	0	69	89	110
Alexandrov507:MB96	MED	2.521256e+00	0	69	89	110
Alexandrov507:MB98	MED	2.944091e+00	0	69	89	110
Alexandrov507:MB99	MED	2.820616e+00	0	69	89	110
Alexandrov507:PA10	PILO	1.871001e+00	0	140	107	128
Alexandrov507:PA102	PILO	1.759872e+00	0	140	107	128
Alexandrov507:PA103	PILO	1.425784e+00	0	140	107	128
Alexandrov507:PA105	PILO	2.460677e+00	0	140	107	128
Alexandrov507:PA107	PILO	1.760970e+00	0	140	107	128
Alexandrov507:PA109	PILO	2.080285e+00	0	140	107	128
Alexandrov507:PA11	PILO	2.498996e+00	0	140	107	128
Alexandrov507:PA110	PILO	1.983761e+00	0	140	107	128
Alexandrov507:PA112	PILO	1.858646e+00	0	140	107	128
Alexandrov507:PA116	PILO	2.324430e+00	0	140	107	128
Alexandrov507:PA117	PILO	2.385017e+00	0	140	107	128
Alexandrov507:PA12	PILO	2.173928e+00	0	140	107	128
Alexandrov507:PA131	PILO	2.445730e+00	0	140	107	128
Alexandrov507:PA134	PILO	1.738711e+00	0	140	107	128
Alexandrov507:PA136	PILO	2.338335e+00	0	140	107	128
Alexandrov507:PA138	PILO	1.906810e+00	0	140	107	128
Alexandrov507:PA14	PILO	1.752559e+00	0	140	107	128
Alexandrov507:PA143	PILO	2.273446e+00	0	140	107	128
Alexandrov507:PA145	PILO	1.958029e+00	0	140	107	128
Alexandrov507:PA148	PILO	1.810998e+00	0	140	107	128
Alexandrov507:PA149	PILO	1.895464e+00	0	140	107	128
Alexandrov507:PA157	PILO	1.764356e+00	0	140	107	128
Alexandrov507:PA166	PILO	2.158785e+00	0	140	107	128
Alexandrov507:PA17	PILO	1.858428e+00	0	140	107	128
Alexandrov507:PA20	PILO	2.337906e+00	0	140	107	128
Alexandrov507:PA21	PILO	2.183651e+00	0	140	107	128
Alexandrov507:PA22	PILO	2.407206e+00	0	140	107	128
Alexandrov507:PA25	PILO	1.843582e+00	0	140	107	128
Alexandrov507:PA3	PILO	1.952458e+00	0	140	107	128
Alexandrov507:PA36	PILO	2.458908e+00	0	140	107	128
Alexandrov507:PA4	PILO	1.838966e+00	0	140	107	128
Alexandrov507:PA41	PILO	2.044892e+00	0	140	107	128
Alexandrov507:PA43	PILO	2.296095e+00	0	140	107	128
Alexandrov507:PA46	PILO	2.174177e+00	0	140	107	128
Alexandrov507:PA48	PILO	1.989717e+00	0	140	107	128
Alexandrov507:PA5	PILO	1.836794e+00	0	140	107	128
Alexandrov507:PA53	PILO	1.917332e+00	0	140	107	128
Alexandrov507:PA54	PILO	2.071821e+00	0	140	107	128
Alexandrov507:PA55	PILO	1.921639e+00	0	140	107	128
Alexandrov507:PA56	PILO	1.855258e+00	0	140	107	128
Alexandrov507:PA58	PILO	2.276264e+00	0	140	107	128
Alexandrov507:PA59	PILO	1.845517e+00	0	140	107	128
Alexandrov507:PA62	PILO	1.886329e+00	0	140	107	128
Alexandrov507:PA63	PILO	2.416001e+00	0	140	107	128
Alexandrov507:PA64	PILO	1.704447e+00	0	140	107	128
Alexandrov507:PA65	PILO	2.887166e+00	0	140	107	128
Alexandrov507:PA69	PILO	2.407850e+00	0	140	107	128
Alexandrov507:PA70	PILO	1.890599e+00	0	140	107	128
Alexandrov507:PA73	PILO	2.490342e+00	0	140	107	128
Alexandrov507:PA75	PILO	2.626176e+00	6.134969e-01	140	107	128
Alexandrov507:PA79	PILO	1.860831e+00	0	140	107	128
Alexandrov507:PA8	PILO	1.602915e+00	0	140	107	128
Alexandrov507:PA81	PILO	1.926765e+00	0	140	107	128
Alexandrov507:PA82	PILO	2.090598e+00	0	140	107	128
Alexandrov507:PA83	PILO	2.193480e+00	0	140	107	128
Alexandrov507:PA84	PILO	2.237212e+00	0	140	107	128
Alexandrov507:PA85	PILO	1.850532e+00	0	140	107	128
Alexandrov507:PA86	PILO	1.917272e+00	0	140	107	128
Alexandrov507:PA87	PILO	1.971518e+00	0	140	107	128
Alexandrov507:PA9	PILO	1.829635e+00	0	140	107	128
Alexandrov507:PA90	PILO	1.768645e+00	0	140	107	128
Alexandrov507:PA93	PILO	2.688720e+00	0	140	107	128
Alexandrov507:PA96	PILO	1.822213e+00	0	140	107	128
Alexandrov507:PD3851a	BRCA	3.194091e+00	7.905138e-01	255	128	128
Alexandrov507:PD3904a	BRCA	3.730892e+00	3.816794e-01	255	128	128
Alexandrov507:PD3905a	BRCA	3.630886e+00	3.968254e-01	255	128	128
Alexandrov507:PD3945a	BRCA	3.997228e+00	2.680965e-01	255	128	128
Alexandrov507:PD3989a	BRCA	3.318576e+00	2.849003e-01	255	128	128
Alexandrov507:PD4005a	BRCA	3.761611e+00	0	255	128	128
Alexandrov507:PD4006a	BRCA	3.940168e+00	0	255	128	128
Alexandrov507:PD4020a	ALL	3.888944e+00	0	150	102	128
Alexandrov507:PD4069a	BRCA	3.316301e+00	0	255	128	128
Alexandrov507:PD4072a	BRCA	4.429546e+00	8.064516e-01	255	128	128
Alexandrov507:PD4080a	BRCA	3.242960e+00	0	255	128	128
Alexandrov507:PD4085a	BRCA	3.387564e+00	0	255	128	128
Alexandrov507:PD4086a	BRCA	3.285936e+00	0	255	128	128
Alexandrov507:PD4088a	BRCA	3.198143e+00	0	255	128	128
Alexandrov507:PD4103a	BRCA	3.702790e+00	0	255	128	128
Alexandrov507:PD4109a	BRCA	3.973467e+00	1.396648e-01	255	128	128
Alexandrov507:PD4115a	BRCA	3.980023e+00	2.320186e-01	255	128	128
Alexandrov507:PD4116a	BRCA	3.885594e+00	0	255	128	128
Alexandrov507:PD4192a	BRCA	3.536783e+00	0	255	128	128
Alexandrov507:PD4194a	BRCA	3.094512e+00	0	255	128	128
Alexandrov507:PD4198a	BRCA	3.621423e+00	4.587156e-01	255	128	128
Alexandrov507:PD4199a	BRCA	3.814713e+00	6.191950e-01	255	128	128
Alexandrov507:PD4224a	BRCA	3.900799e+00	0	255	128	128
Alexandrov507:PD4248a	BRCA	3.340531e+00	0	255	128	128
Alexandrov507:PD4604a	BRCA	3.933861e+00	0	255	128	128
Alexandrov507:PD4605a	BRCA	3.389529e+00	0	255	128	128
Alexandrov507:PD4607a	BRCA	4.405963e+00	1.169591e+00	255	128	128
Alexandrov507:PD4608a	BRCA	3.363323e+00	0	255	128	128
Alexandrov507:PD4613a	BRCA	3.298541e+00	0	255	128	128
Alexandrov507:PD4954a	BRCA	3.727801e+00	2.857143e-01	255	128	128
Alexandrov507:PD4957a	BRCA	3.471759e+00	7.633588e-01	255	128	128
Alexandrov507:PD4958a	BRCA	3.920878e+00	2.710027e-01	255	128	128
Alexandrov507:PD4959a	BRCA	3.627051e+00	0	255	128	128
Alexandrov507:PD4962a	BRCA	3.743870e+00	3.773585e-01	255	128	128
Alexandrov507:PD4963a	BRCA	3.171205e+00	3.333333e-01	255	128	128
Alexandrov507:PD4966a	BRCA	3.019337e+00	0	255	128	128
Alexandrov507:PD4968a	BRCA	3.624134e+00	0	255	128	128
Alexandrov507:PD4970a	BRCA	3.336949e+00	5.763689e-01	255	128	128
Alexandrov507:PD4971a	BRCA	3.401750e+00	0	255	128	128
Alexandrov507:PD4972a	BRCA	3.024035e+00	0	255	128	128
Alexandrov507:PD4975a	BRCA	3.836932e+00	5.681818e-01	255	128	128
Alexandrov507:PD4976a	BRCA	3.751475e+00	2.547771e-01	255	128	128
Alexandrov507:PD4983a	BRCA	3.208620e+00	3.731343e-01	255	128	128
Alexandrov507:PD4985a	BRCA	3.260826e+00	3.401361e-01	255	128	128
Alexandrov507:PD4986a	BRCA	3.256666e+00	0	255	128	128
Alexandrov507:PD5928a	BRCA	3.812659e+00	0	255	128	128
Alexandrov507:PD5936a	BRCA	3.408961e+00	2.710027e-01	255	128	128
Alexandrov507:PD5947a	BRCA	3.220611e+00	0	255	128	128
Alexandrov507:PD6018a	BRCA	3.436909e+00	2.824859e-01	255	128	128
Alexandrov507:PD6041a	BRCA	3.208556e+00	0	255	128	128
Alexandrov507:PD6042a	BRCA	3.816231e+00	0	255	128	128
Alexandrov507:PD6043a	BRCA	4.351347e+00	3.048780e-01	255	128	128
Alexandrov507:PD6044a	BRCA	3.391947e+00	2.666667e-01	255	128	128
Alexandrov507:PD6045a	BRCA	3.318503e+00	3.968254e-01	255	128	128
Alexandrov507:PD6049a	BRCA	3.861547e+00	0	255	128	128
Alexandrov507:PD6409a	BRCA	3.787873e+00	3.875969e-01	255	128	128
Alexandrov507:PD6410a	BRCA	3.853348e+00	2.840909e-01	255	128	128
Alexandrov507:PD6417a	BRCA	3.159814e+00	0	255	128	128
Alexandrov507:PD6418a	BRCA	3.284711e+00	0	255	128	128
Alexandrov507:PD6422a	BRCA	3.670028e+00	2.169197e-01	255	128	128
Alexandrov507:PD6466b	BRCA	3.179659e+00	0	255	128	128
Alexandrov507:PD6719a	BRCA	3.662302e+00	0	255	128	128
Alexandrov507:PD6720a	BRCA	3.273806e+00	9.202454e-01	255	128	128
Alexandrov507:PD6721a	BRCA	3.312907e+00	5.115090e-01	255	128	128
Alexandrov507:PD7199a	BRCA	3.034775e+00	0	255	128	128
Alexandrov507:PD7201a	BRCA	3.165606e+00	0	255	128	128
Alexandrov507:PD7207a	BRCA	3.412694e+00	0	255	128	128
Alexandrov507:PD7208a	BRCA	3.356640e+00	0	255	128	128
Alexandrov507:PD7209a	BRCA	3.186224e+00	0	255	128	128
Alexandrov507:PD7210a	BRCA	3.107527e+00	6.535948e-01	255	128	128
Alexandrov507:PD7212a	BRCA	3.276019e+00	2.597403e-01	255	128	128
Alexandrov507:PD7216a	BRCA	3.187389e+00	0	255	128	128
Alexandrov507:PD7221a	BRCA	3.273227e+00	2.832861e-01	255	128	128
Alexandrov507:PD7404a	BRCA	4.102696e+00	4.830918e-01	255	128	128
Alexandrov507:PD7409a	BRCA	3.888511e+00	0	255	128	128
Alexandrov507:PD7431a	BRCA	3.596914e+00	2.409639e-01	255	128	128
Alexandrov507:PD7433a	BRCA	3.304337e+00	2.247191e-01	255	128	128
Alexandrov507:PD8618a	BRCA	3.133517e+00	0	255	128	128
Alexandrov507:PD8622a	BRCA	3.239473e+00	3.610108e-01	255	128	128
Alexandrov507:PD8623a	BRCA	3.229671e+00	0	255	128	128
Alexandrov507:RK001_C01	LIVER	4.286331e+00	0	179	153	128
Alexandrov507:RK002_C01	LIVER	4.101026e+00	0	179	153	128
Alexandrov507:RK003_C01	LIVER	3.832098e+00	3.496503e-01	179	153	128
Alexandrov507:RK004_C01	LIVER	4.183870e+00	3.048780e-01	179	153	128
Alexandrov507:RK005_C01	LIVER	3.378932e+00	0	179	153	128
Alexandrov507:RK006_C01	LIVER	4.225406e+00	0	179	153	128
Alexandrov507:RK006_C02	LIVER	4.268055e+00	0	179	153	128
Alexandrov507:RK007_C01	LIVER	4.042038e+00	0	179	153	128
Alexandrov507:RK010_C01	LIVER	3.826856e+00	4.273504e-01	179	153	128
Alexandrov507:RK012_C01	LIVER	3.837074e+00	0	179	153	128
Alexandrov507:RK015_C01	LIVER	4.101426e+00	0	179	153	128
Alexandrov507:RK016_C01	LIVER	3.880033e+00	0	179	153	128
Alexandrov507:RK018_C01	LIVER	3.130803e+00	0	179	153	128
Alexandrov507:RK019_C01	LIVER	4.196550e+00	0	179	153	128
Alexandrov507:RK020_C01	LIVER	3.694929e+00	0	179	153	128
Alexandrov507:RK021_C01	LIVER	4.198245e+00	0	179	153	128
Alexandrov507:RK022_C01	LIVER	4.082694e+00	0	179	153	128
Alexandrov507:RK023_C01	LIVER	4.279196e+00	2.785515e-01	179	153	128
Alexandrov507:RK024_C01	LIVER	3.667618e+00	0	179	153	128
Alexandrov507:RK025_C01	LIVER	3.905885e+00	0	179	153	128
Alexandrov507:RK026_C01	LIVER	3.762431e+00	0	179	153	128
Alexandrov507:RK027_C01	LIVER	4.354748e+00	0	179	153	128
Alexandrov507:RK029_C01	LIVER	3.843872e+00	0	179	153	128
Alexandrov507:RK031_C01	LIVER	3.822906e+00	0	179	153	128
Alexandrov507:RK032_C01	LIVER	4.029110e+00	2.958580e-01	179	153	128
Alexandrov507:RK033_C01	LIVER	3.568970e+00	0	179	153	128
Alexandrov507:RK034_C01	LIVER	3.669060e+00	0	179	153	128
Alexandrov507:RK035_C01	LIVER	4.400278e+00	0	179	153	128
Alexandrov507:RK036_C01	LIVER	3.648403e+00	0	179	153	128
Alexandrov507:RK037_C01	LIVER	3.689720e+00	0	179	153	128
Alexandrov507:RK041_C01	LIVER	4.292058e+00	2.717391e-01	179	153	128
Alexandrov507:RK042_C01	LIVER	3.907156e+00	0	179	153	128
Alexandrov507:RK046_C01	LIVER	3.933649e+00	0	179	153	128
Alexandrov507:RK046_C02	LIVER	4.037819e+00	3.787879e-01	179	153	128
Alexandrov507:RK047_C01	LIVER	3.899102e+00	0	179	153	128
Alexandrov507:RK048_C01	LIVER	4.140436e+00	0	179	153	128
Alexandrov507:RK049_C01	LIVER	3.336970e+00	0	179	153	128
Alexandrov507:RK050_C01	LIVER	3.931962e+00	3.759398e-01	179	153	128
Alexandrov507:RK051_C01	LIVER	4.060627e+00	0	179	153	128
Alexandrov507:RK054_C01	LIVER	3.786517e+00	0	179	153	128
Alexandrov507:RK055_C01	LIVER	3.258055e+00	0	179	153	128
Alexandrov507:RK056_C01	LIVER	4.220352e+00	0	179	153	128
Alexandrov507:RK063_C01	LIVER	3.782957e+00	0	179	153	128
Alexandrov507:RK067_C01	LIVER	4.142885e+00	0	179	153	128
