name	ttype	nmut	pct_vCTg_hp	x	y	clr_red	clr_green	clr_blue
Alexandrov507:012-02-1TD	CLL	886	1.030928e+00	2.948627e+00	1.030928e+00	128	102	128
Lawrence126:BR-0001	BRCA	1486	1.030928e+00	3.172610e+00	1.030928e+00	255	128	128
PCAWG2279:TCGA-EW-A1PB	BRCA_TNBC	15804	9.779951e-01	4.198849e+00	9.779951e-01	255	77	179
PCAWG2279:TCGA-BH-A0DT	BRCA_nonTNBC	1237	9.740260e-01	3.093218e+00	9.740260e-01	255	179	179
Nik-Zainal560:PD13753a	BRCA_nonTNBC	7995	9.732360e-01	3.902971e+00	9.732360e-01	255	179	179
PCAWG2279:TCGA-61-2000	OV	4208	9.732360e-01	3.624301e+00	9.732360e-01	230	128	179
PCAWG2279:TCGA-CR-6472	HNSC	43025	9.685230e-01	4.633743e+00	9.685230e-01	0	0	255
PCAWG2279:TCGA-KL-8328	KICH	1967	9.638554e-01	3.294294e+00	9.638554e-01	77	74	69
Alexandrov507:SJLGG037	PILO	24	9.615385e-01	1.415327e+00	9.615385e-01	140	107	128
PCAWG2279:TCGA-B2-4101	KIRC	4778	9.615385e-01	3.679464e+00	9.615385e-01	122	97	66
PCAWG2279:TCGA-BT-A20Q	BLCA	8970	9.602195e-01	3.952894e+00	9.602195e-01	230	230	0
Nik-Zainal560:PD9606a	BRCA_nonTNBC	1222	9.554140e-01	3.088118e+00	9.554140e-01	255	179	179
Nik-Zainal560:PD13766a	BRCA_nonTNBC	3837	9.523810e-01	3.584275e+00	9.523810e-01	255	179	179
PCAWG2279:TCGA-C5-A2LY	CESC	9998	9.302326e-01	4.000002e+00	9.302326e-01	255	179	0
PCAWG2279:TCGA-E2-A1LG	BRCA_TNBC	16288	9.302326e-01	4.211934e+00	9.302326e-01	255	77	179
Alexandrov507:PD6720a	BRCA	1876	9.202454e-01	3.273806e+00	9.202454e-01	255	128	128
Alexandrov507:MB67	MED	937	9.146341e-01	2.972787e+00	9.146341e-01	69	89	110
PCAWG2279:TCGA-DJ-A1QL	THCA	1121	9.132420e-01	3.050658e+00	9.132420e-01	161	166	209
PCAWG2279:TCGA-13-0723	OV	5517	8.960573e-01	3.741887e+00	8.960573e-01	230	128	179
PCAWG2279:TCGA-C8-A12Q	BRCA	11946	8.802817e-01	4.077328e+00	8.802817e-01	255	128	128
Lawrence126:BR-MEX-116	BRCA	8442	8.695652e-01	3.926593e+00	8.695652e-01	255	128	128
Nik-Zainal560:PD7219a	BRCA_nonTNBC	11621	8.645533e-01	4.065355e+00	8.645533e-01	255	179	179
PCAWG2279:C0036	CRC	4371	8.645533e-01	3.640846e+00	8.645533e-01	0	153	89
PCAWG2279:TCGA-CW-6093	KIRC	8219	8.620690e-01	3.914963e+00	8.620690e-01	122	97	66
PCAWG2279:RK235	LIVER	16939	8.583691e-01	4.228956e+00	8.583691e-01	179	153	128
PCAWG2279:RK275	LIVER	6913	8.547009e-01	3.839832e+00	8.547009e-01	179	153	128
PCAWG2279:AOCS-004	OV	7156	8.528785e-01	3.854847e+00	8.528785e-01	230	128	179
Nik-Zainal560:PD4833a	BRCA_TNBC	6401	8.522727e-01	3.806429e+00	8.522727e-01	255	77	179
Nik-Zainal560:PD13422a	BRCA_nonTNBC	1805	8.498584e-01	3.257060e+00	8.498584e-01	255	179	179
PCAWG2279:TCGA-22-5477	LUSC	25111	8.465608e-01	4.399905e+00	8.465608e-01	255	0	0
PCAWG2279:TCGA-E2-A152	BRCA_nonTNBC	14273	8.460237e-01	4.154595e+00	8.460237e-01	255	179	179
PCAWG2279:TCGA-66-2766	LUSC	55120	8.247423e-01	4.741330e+00	8.247423e-01	255	0	0
PCAWG2279:TCGA-DK-A1A6	BLCA	34842	8.223684e-01	4.542139e+00	8.223684e-01	230	230	0
Nik-Zainal560:PD6046a	BRCA_TNBC	2976	8.146640e-01	3.474065e+00	8.146640e-01	255	77	179
Nik-Zainal560:PD24326a	BRCA_TNBC	23620	8.080808e-01	4.373326e+00	8.080808e-01	255	77	179
Alexandrov507:PD4072a	BRCA	26885	8.064516e-01	4.429546e+00	8.064516e-01	255	128	128
Nik-Zainal560:PD13419a	BRCA_nonTNBC	1092	8.064516e-01	3.039027e+00	8.064516e-01	255	179	179
Nik-Zainal560:PD13304a	BRCA_nonTNBC	1517	8.021390e-01	3.181690e+00	8.021390e-01	255	179	179
Alexandrov507:MB119	MED	186	8.000000e-01	2.276046e+00	8.000000e-01	69	89	110
Nik-Zainal560:PD11372a	BRCA_nonTNBC	13793	7.952286e-01	4.139743e+00	7.952286e-01	255	179	179
Alexandrov507:PD3851a	BRCA	1561	7.905138e-01	3.194091e+00	7.905138e-01	255	128	128
Nik-Zainal560:PD24327a	BRCA_nonTNBC	16185	7.782101e-01	4.209175e+00	7.782101e-01	255	179	179
PCAWG2279:TCGA-34-2600	LUSC	53964	7.782101e-01	4.732122e+00	7.782101e-01	255	0	0
Nik-Zainal560:PD24208a	BRCA_TNBC	25624	7.751938e-01	4.408681e+00	7.751938e-01	255	77	179
PCAWG2279:TCGA-CR-7404	HNSC	14138	7.751938e-01	4.150456e+00	7.751938e-01	0	0	255
Nik-Zainal560:PD13771a	BRCA_nonTNBC	13089	7.722008e-01	4.116984e+00	7.722008e-01	255	179	179
PCAWG2279:TCGA-BT-A20T	BLCA	31114	7.683864e-01	4.492991e+00	7.683864e-01	230	230	0
PCAWG2279:TCGA-FD-A3N5	BLCA	36432	7.666099e-01	4.561507e+00	7.666099e-01	230	230	0
Alexandrov507:PD4957a	BRCA	2961	7.633588e-01	3.471759e+00	7.633588e-01	255	128	128
PCAWG2279:CGP_donor_1841267	BOCA	1742	7.633588e-01	3.241769e+00	7.633588e-01	179	153	128
Nik-Zainal560:PD22357a	BRCA_nonTNBC	7719	7.604563e-01	3.887723e+00	7.604563e-01	255	179	179
Nik-Zainal560:PD13418a	BRCA_TNBC	6808	7.587253e-01	3.833195e+00	7.587253e-01	255	77	179
PCAWG2279:ICGC_0223	PANC	5819	7.509387e-01	3.765050e+00	7.509387e-01	97	71	48
Nik-Zainal560:PD13425a	BRCA_nonTNBC	34502	7.470651e-01	4.537870e+00	7.470651e-01	255	179	179
Alexandrov507:RK075_C01	LIVER	8669	7.462687e-01	3.938094e+00	7.462687e-01	179	153	128
PCAWG2279:TCGA-25-2391	OV	7164	7.462687e-01	3.855304e+00	7.462687e-01	230	128	179
Nik-Zainal560:PD18020a	BRCA_TNBC	17772	7.440476e-01	4.249803e+00	7.440476e-01	255	77	179
PCAWG2279:TCGA-A2-A0D1	BRCA	4452	7.320644e-01	3.648840e+00	7.320644e-01	255	128	128
Nik-Zainal560:PD4266a	BRCA_nonTNBC	2388	7.299270e-01	3.378404e+00	7.299270e-01	255	179	179
PCAWG2279:ITNET-0700	PANC	2504	7.272727e-01	3.399042e+00	7.272727e-01	97	71	48
PCAWG2279:C0016	CRC	4520	7.246377e-01	3.655372e+00	7.246377e-01	0	153	89
PCAWG2279:ICGC_MB228	PBCA	1140	7.246377e-01	3.057910e+00	7.246377e-01	153	128	51
Nik-Zainal560:PD13310a	BRCA_nonTNBC	1831	7.159905e-01	3.263180e+00	7.159905e-01	255	179	179
Alexandrov507:MB85	MED	180	7.142857e-01	2.260834e+00	7.142857e-01	69	89	110
PCAWG2279:EOPC-019	EOPC	1417	7.142857e-01	3.152061e+00	7.142857e-01	179	179	140
PCAWG2279:TCGA-68-8250	LUSC	50722	7.113821e-01	4.705220e+00	7.113821e-01	255	0	0
PCAWG2279:TCGA-05-4397	LUAD	110327	7.102273e-01	5.042692e+00	7.102273e-01	179	26	0
Alexandrov507:523	CLL	3339	7.092199e-01	3.523903e+00	7.092199e-01	128	102	128
PCAWG2279:TCGA-FE-A3PD	THCA	985	7.092199e-01	2.994641e+00	7.092199e-01	161	166	209
Nik-Zainal560:PD6722a	BRCA_TNBC	10110	7.042254e-01	4.004866e+00	7.042254e-01	255	77	179
PCAWG2279:CGP_donor_1437415	BOCA	361	7.042254e-01	2.560803e+00	7.042254e-01	179	153	128
PCAWG2279:TCGA-MR-A520	LIVER	2747	7.017544e-01	3.439221e+00	7.017544e-01	179	153	128
PCAWG2279:C0049	CRC	12227	6.993007e-01	4.087394e+00	6.993007e-01	0	153	89
PCAWG2279:TCGA-KN-8434	KICH	1898	6.944444e-01	3.278788e+00	6.944444e-01	77	74	69
Nik-Zainal560:PD11344a	BRCA_nonTNBC	11028	6.920415e-01	4.042580e+00	6.920415e-01	255	179	179
Alexandrov507:MB134	MED	660	6.896552e-01	2.821499e+00	6.896552e-01	69	89	110
Nik-Zainal560:PD24194a	BRCA_nonTNBC	13695	6.896552e-01	4.136650e+00	6.896552e-01	255	179	179
PCAWG2279:ICGC_0139	PANC	3204	6.887052e-01	3.506027e+00	6.887052e-01	97	71	48
PCAWG2279:ICGC_0303	PANC	9335	6.872852e-01	3.970239e+00	6.872852e-01	97	71	48
PCAWG2279:ITNET-1288	PANC	2683	6.872852e-01	3.428968e+00	6.872852e-01	97	71	48
PCAWG2279:MBRep_T54	PBCA	928	6.872852e-01	2.968779e+00	6.872852e-01	153	128	51
PCAWG2279:ICGC_MB160	PBCA	988	6.825939e-01	2.995804e+00	6.825939e-01	153	128	51
Nik-Zainal560:PD8610a	BRCA_nonTNBC	5098	6.802721e-01	3.707615e+00	6.802721e-01	255	179	179
PCAWG2279:CGP_donor_1691206	BOCA	2367	6.779661e-01	3.374661e+00	6.779661e-01	179	153	128
Nik-Zainal560:PD24209a	BRCA_nonTNBC	10169	6.756757e-01	4.007364e+00	6.756757e-01	255	179	179
PCAWG2279:RK278	LIVER	5512	6.711409e-01	3.741484e+00	6.711409e-01	179	153	128
Nik-Zainal560:PD18775a	BRCA_nonTNBC	1330	6.644518e-01	3.124648e+00	6.644518e-01	255	179	179
PCAWG2279:TCGA-AK-3454	KIRC	3740	6.622517e-01	3.573133e+00	6.622517e-01	122	97	66
Nik-Zainal560:PD11343a	BRCA_nonTNBC	2944	6.578947e-01	3.469377e+00	6.578947e-01	255	179	179
Nik-Zainal560:PD11762a	BRCA_TNBC	1734	6.557377e-01	3.239569e+00	6.557377e-01	255	77	179
Alexandrov507:PD7210a	BRCA	1278	6.535948e-01	3.107527e+00	6.535948e-01	255	128	128
Nik-Zainal560:PD9570a	BRCA_nonTNBC	1406	6.535948e-01	3.148615e+00	6.535948e-01	255	179	179
PCAWG2279:TCGA-A2-A0EY	BRCA_nonTNBC	21978	6.529851e-01	4.342034e+00	6.529851e-01	255	179	179
PCAWG2279:RK171	LIVER	5860	6.514658e-01	3.768111e+00	6.514658e-01	179	153	128
PCAWG2279:TCGA-EL-A3CX	THCA	406	6.493506e-01	2.611286e+00	6.493506e-01	161	166	209
PCAWG2279:TCGA-AC-A2BK	BRCA	9312	6.430868e-01	3.969145e+00	6.430868e-01	255	128	128
Nik-Zainal560:PD13426a	BRCA_nonTNBC	2699	6.423983e-01	3.431660e+00	6.423983e-01	255	179	179
PCAWG2279:TCGA-KL-8340	KICH	869	6.389776e-01	2.940406e+00	6.389776e-01	77	74	69
PCAWG2279:OCCAMS-PS-001	ESO	6454	6.377551e-01	3.809994e+00	6.377551e-01	77	204	46
PCAWG2279:TCGA-55-6972	LUAD	42320	6.377551e-01	4.626574e+00	6.377551e-01	179	26	0
PCAWG2279:TCGA-EJ-5506	PRAD	381	6.369427e-01	2.584203e+00	6.369427e-01	179	179	140
PCAWG2279:TCGA-68-7755	LUSC	48595	6.363636e-01	4.686617e+00	6.363636e-01	255	0	0
PCAWG2279:TCGA-94-7943	LUSC	23230	6.359300e-01	4.366087e+00	6.359300e-01	255	0	0
PCAWG2279:EOPC-036	EOPC	2179	6.355932e-01	3.338721e+00	6.355932e-01	179	179	140
PCAWG2279:RK077	LIVER	16127	6.342495e-01	4.207628e+00	6.342495e-01	179	153	128
PCAWG2279:TCGA-EO-A1Y8	UCEC	7108	6.337136e-01	3.851904e+00	6.337136e-01	166	0	140
Lawrence126:MM-0383	MM	5435	6.329114e-01	3.735387e+00	6.329114e-01	128	130	51
Nik-Zainal560:PD17981a	BRCA_nonTNBC	6964	6.323397e-01	3.843023e+00	6.323397e-01	255	179	179
Nik-Zainal560:PD9760a	BRCA_nonTNBC	5006	6.319115e-01	3.699705e+00	6.319115e-01	255	179	179
Nik-Zainal560:PD18189a	BRCA_nonTNBC	4272	6.302521e-01	3.630910e+00	6.302521e-01	255	179	179
Nik-Zainal560:PD23554a	BRCA_TNBC	6899	6.289308e-01	3.838960e+00	6.289308e-01	255	77	179
PCAWG2279:RK185	LIVER	5822	6.289308e-01	3.765275e+00	6.289308e-01	179	153	128
PCAWG2279:OCCAMS-AH-197	ESO	9288	6.259781e-01	3.968059e+00	6.259781e-01	77	204	46
PCAWG2279:AOCS-128	OV	10174	6.250000e-01	4.007615e+00	6.250000e-01	230	128	179
PCAWG2279:CPCG0102	PRAD	1757	6.250000e-01	3.245337e+00	6.250000e-01	179	179	140
Nik-Zainal560:PD8973a	BRCA_nonTNBC	5908	6.224066e-01	3.771590e+00	6.224066e-01	255	179	179
Alexandrov507:PD4199a	BRCA	6524	6.191950e-01	3.814713e+00	6.191950e-01	255	128	128
PCAWG2279:TCGA-DK-A1AE	BLCA	13451	6.163328e-01	4.128839e+00	6.163328e-01	230	230	0
PCAWG2279:RK122	LIVER	10243	6.147541e-01	4.010544e+00	6.147541e-01	179	153	128
Alexandrov507:PA75	PILO	420	6.134969e-01	2.626176e+00	6.134969e-01	140	107	128
Lawrence126:BR-0010	BRCA	2610	6.134969e-01	3.416982e+00	6.134969e-01	255	128	128
PCAWG2279:TCGA-DJ-A4UT	THCA	3857	6.134969e-01	3.586586e+00	6.134969e-01	161	166	209
Lawrence126:PR-3043	PRAD	3752	6.116208e-01	3.574583e+00	6.116208e-01	179	179	140
PCAWG2279:ICGC_MB171	PBCA	729	6.116208e-01	2.864466e+00	6.116208e-01	153	128	51
PCAWG2279:PCSI_0472	PANC	11876	6.082725e-01	4.074747e+00	6.082725e-01	97	71	48
PCAWG2279:TCGA-A8-A07B	BRCA_nonTNBC	6818	6.079027e-01	3.833823e+00	6.079027e-01	255	179	179
Nik-Zainal560:PD11349a	BRCA_nonTNBC	7449	6.069803e-01	3.872219e+00	6.069803e-01	255	179	179
Lawrence126:PR-03-728	PRAD	1046	6.060606e-01	3.020575e+00	6.060606e-01	179	179	140
PCAWG2279:CGP_donor_1602516	BOCA	5556	6.060606e-01	3.744969e+00	6.060606e-01	179	153	128
PCAWG2279:TCGA-BJ-A0ZB	THCA	3715	6.060606e-01	3.570241e+00	6.060606e-01	161	166	209
Alexandrov507:HX33T	LIVER	14920	6.042296e-01	4.173852e+00	6.042296e-01	179	153	128
Nik-Zainal560:PD18049a	BRCA_nonTNBC	3392	6.036217e-01	3.530746e+00	6.036217e-01	255	179	179
PCAWG2279:CGP_donor_1437418	BOCA	880	6.024096e-01	2.945536e+00	6.024096e-01	179	153	128
PCAWG2279:CGP_donor_1691150	BOCA	1776	6.024096e-01	3.249998e+00	6.024096e-01	179	153	128
PCAWG2279:TCGA-34-2596	LUSC	54181	6.024096e-01	4.733863e+00	6.024096e-01	255	0	0
Alexandrov507:MB74	MED	2167	5.952381e-01	3.336368e+00	5.952381e-01	69	89	110
Nik-Zainal560:PD23567a	BRCA_TNBC	7198	5.952381e-01	3.857385e+00	5.952381e-01	255	77	179
Alexandrov507:HX5T	LIVER	8708	5.934718e-01	3.940022e+00	5.934718e-01	179	153	128
Nik-Zainal560:PD7217a	BRCA_TNBC	9169	5.928854e-01	3.962425e+00	5.928854e-01	255	77	179
Nik-Zainal560:PD11346a	BRCA_nonTNBC	2292	5.899705e-01	3.360685e+00	5.899705e-01	255	179	179
Nik-Zainal560:PD4841a	BRCA_nonTNBC	7020	5.870841e-01	3.846505e+00	5.870841e-01	255	179	179
Nik-Zainal560:PD24215a	BRCA_TNBC	6177	5.865103e-01	3.790955e+00	5.865103e-01	255	77	179
Nik-Zainal560:PD9755a	BRCA_nonTNBC	1710	5.865103e-01	3.233614e+00	5.865103e-01	255	179	179
PCAWG2279:TCGA-BP-4968	KIRC	3922	5.847953e-01	3.593814e+00	5.847953e-01	122	97	66
PCAWG2279:TCGA-DS-A0VL	CESC	7319	5.839416e-01	3.864596e+00	5.839416e-01	255	179	0
PCAWG2279:RK101	LIVER	18844	5.825243e-01	4.275235e+00	5.825243e-01	179	153	128
PCAWG2279:EOPC-04	EOPC	2461	5.780347e-01	3.391621e+00	5.780347e-01	179	179	140
Alexandrov507:PD4970a	BRCA	2170	5.763689e-01	3.336949e+00	5.763689e-01	255	128	128
PCAWG2279:RK166	LIVER	7970	5.763689e-01	3.901622e+00	5.763689e-01	179	153	128
Nik-Zainal560:PD18247a	BRCA_nonTNBC	9136	5.714286e-01	3.960891e+00	5.714286e-01	255	179	179
PCAWG2279:ICGC_0230	PANC	3207	5.714286e-01	3.506420e+00	5.714286e-01	97	71	48
PCAWG2279:TCGA-EK-A2RM	CESC	8756	5.689900e-01	3.942429e+00	5.689900e-01	255	179	0
Alexandrov507:PD4975a	BRCA	6867	5.681818e-01	3.836932e+00	5.681818e-01	255	128	128
PCAWG2279:SNU_WGS_04	AML	519	5.681818e-01	2.717594e+00	5.681818e-01	77	115	140
PCAWG2279:TCGA-44-6148	LUAD	568	5.681818e-01	2.756505e+00	5.681818e-01	179	26	0
Lawrence126:PR-07-4610	PRAD	3701	5.671078e-01	3.568666e+00	5.671078e-01	179	179	140
Nik-Zainal560:PD11745a	BRCA_nonTNBC	3018	5.665722e-01	3.480041e+00	5.665722e-01	255	179	179
PCAWG2279:ICGC_0501	PANC	4172	5.665722e-01	3.620643e+00	5.665722e-01	97	71	48
PCAWG2279:TCGA-04-1371	OV	4384	5.665722e-01	3.642109e+00	5.665722e-01	230	128	179
PCAWG2279:ITNET-0118	PANC	1539	5.649718e-01	3.187825e+00	5.649718e-01	97	71	48
PCAWG2279:RK306	LIVER	16503	5.617978e-01	4.217618e+00	5.617978e-01	179	153	128
PCAWG2279:TCGA-BB-4225	HNSC	5903	5.567929e-01	3.771223e+00	5.567929e-01	0	0	255
PCAWG2279:PCSI_0303	PANC	3734	5.555556e-01	3.572412e+00	5.555556e-01	97	71	48
Nik-Zainal560:PD13629a	BRCA_nonTNBC	2029	5.540166e-01	3.307891e+00	5.540166e-01	255	179	179
Nik-Zainal560:PD8611a	BRCA_TNBC	6828	5.540166e-01	3.834459e+00	5.540166e-01	255	77	179
PCAWG2279:AOCS-158	OV	6815	5.509642e-01	3.833627e+00	5.509642e-01	230	128	179
PCAWG2279:TCGA-HD-7753	HNSC	12900	5.504587e-01	4.110667e+00	5.504587e-01	0	0	255
Nik-Zainal560:PD13755a	BRCA_nonTNBC	1936	5.494505e-01	3.287514e+00	5.494505e-01	255	179	179
PCAWG2279:ICGC_0296	PANC	6963	5.486968e-01	3.842980e+00	5.486968e-01	97	71	48
PCAWG2279:TCGA-BT-A2LA	BLCA	20222	5.485893e-01	4.305871e+00	5.485893e-01	230	230	0
PCAWG2279:RK188	LIVER	3401	5.464481e-01	3.531945e+00	5.464481e-01	179	153	128
PCAWG2279:TCGA-C5-A0TN	CESC	3090	5.449591e-01	3.490315e+00	5.449591e-01	255	179	0
Lawrence126:MEL-0032	SKCM	16031	5.434783e-01	4.205018e+00	5.434783e-01	0	0	0
Lawrence126:PR-1701	PRAD	4484	5.415162e-01	3.651873e+00	5.415162e-01	179	179	140
Alexandrov507:LUAD-S01346	LUAD	83768	5.412720e-01	4.923091e+00	5.412720e-01	179	26	0
Alexandrov507:LUAD-S01404	LUAD	34373	5.405405e-01	4.536246e+00	5.405405e-01	179	26	0
PCAWG2279:PCSI_0294	PANC	4828	5.400540e-01	3.683993e+00	5.400540e-01	97	71	48
PCAWG2279:RK199	LIVER	9283	5.390836e-01	3.967823e+00	5.390836e-01	179	153	128
Nik-Zainal560:PD14454a	BRCA_nonTNBC	2510	5.376344e-01	3.400084e+00	5.376344e-01	255	179	179
PCAWG2279:HX26	LIVER	6321	5.361930e-01	3.800962e+00	5.361930e-01	179	153	128
PCAWG2279:TCGA-DU-5874	LGG	4135	5.361930e-01	3.616733e+00	5.361930e-01	140	89	102
Nik-Zainal560:PD6684a	BRCA_TNBC	13677	5.357143e-01	4.136069e+00	5.357143e-01	255	77	179
Alexandrov507:MB108	MED	547	5.347594e-01	2.740198e+00	5.347594e-01	69	89	110
PCAWG2279:AOCS-005	OV	5945	5.347594e-01	3.774349e+00	5.347594e-01	230	128	179
PCAWG2279:ICGC_0449	PANC	1698	5.347594e-01	3.230622e+00	5.347594e-01	97	71	48
Alexandrov507:LUAD-E00934	LUAD	112732	5.344418e-01	5.052055e+00	5.344418e-01	179	26	0
PCAWG2279:PCSI_0287	PANC	6110	5.338078e-01	3.786199e+00	5.338078e-01	97	71	48
Nik-Zainal560:PD11464a	BRCA_nonTNBC	4497	5.333333e-01	3.653189e+00	5.333333e-01	255	179	179
Nik-Zainal560:PD23565a	BRCA_TNBC	8852	5.326232e-01	3.947141e+00	5.326232e-01	255	77	179
PCAWG2279:EOPC-05	EOPC	1644	5.319149e-01	3.216537e+00	5.319149e-01	179	179	140
PCAWG2279:TCGA-06-2570	GBM	3247	5.309735e-01	3.511876e+00	5.309735e-01	138	112	92
Nik-Zainal560:PD23561a	BRCA_nonTNBC	58028	5.288207e-01	4.763655e+00	5.288207e-01	255	179	179
Nik-Zainal560:PD6729a2	BRCA_TNBC	4872	5.281690e-01	3.687927e+00	5.281690e-01	255	77	179
PCAWG2279:C0035	CRC	19048	5.277045e-01	4.279905e+00	5.277045e-01	0	153	89
PCAWG2279:TCGA-13-0890	OV	5908	5.277045e-01	3.771601e+00	5.277045e-01	230	128	179
PCAWG2279:TCGA-DK-A1A7	BLCA	19689	5.266623e-01	4.294289e+00	5.266623e-01	230	230	0
Nik-Zainal560:PD7205a	BRCA_nonTNBC	7858	5.263158e-01	3.895450e+00	5.263158e-01	255	179	179
PCAWG2279:CPCG0233	PRAD	4163	5.263158e-01	3.619703e+00	5.263158e-01	179	179	140
Nik-Zainal560:PD13302a	BRCA_nonTNBC	4896	5.249344e-01	3.690021e+00	5.249344e-01	255	179	179
PCAWG2279:TCGA-AO-A124	BRCA_TNBC	14769	5.244755e-01	4.169421e+00	5.244755e-01	255	77	179
PCAWG2279:CGP_donor_1437419	BOCA	1062	5.235602e-01	3.027042e+00	5.235602e-01	179	153	128
PCAWG2279:TCGA-22-5485	LUSC	35592	5.228758e-01	4.551380e+00	5.228758e-01	255	0	0
Nik-Zainal560:PD4952a	BRCA_nonTNBC	12033	5.221932e-01	4.080471e+00	5.221932e-01	255	179	179
PCAWG2279:AOCS-117	OV	15273	5.221932e-01	4.183983e+00	5.221932e-01	230	128	179
PCAWG2279:CPCG0040	PRAD	3733	5.221932e-01	3.572341e+00	5.221932e-01	179	179	140
Alexandrov507:MB1	MED	401	5.208333e-01	2.605754e+00	5.208333e-01	69	89	110
Alexandrov507:MB84	MED	1042	5.208333e-01	3.018840e+00	5.208333e-01	69	89	110
Nik-Zainal560:PD13165a	BRCA_nonTNBC	6341	5.208333e-01	3.802303e+00	5.208333e-01	255	179	179
Nik-Zainal560:PD24220a	BRCA_nonTNBC	3611	5.208333e-01	3.557938e+00	5.208333e-01	255	179	179
PCAWG2279:HX24	LIVER	11339	5.208333e-01	4.054677e+00	5.208333e-01	179	153	128
Nik-Zainal560:PD4955a	BRCA_nonTNBC	6070	5.194805e-01	3.783367e+00	5.194805e-01	255	179	179
Nik-Zainal560:PD18756a	BRCA_nonTNBC	1635	5.181347e-01	3.214082e+00	5.181347e-01	255	179	179
